github.com/AlDanial/cloc v 2.06  T=4.25 s (709.4 files/s, 321856.4 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
JavaScript                       70          58709         103516         423477
Go                              916          41458          11665         340491
JSON                             96             25              0         120158
Markdown                        630          31920            267         101141
TypeScript                      373           6726           3821          49833
YAML                            437           2625            626          25937
Bourne Shell                    158           3024           1624          15051
SQL                             124           1901           2095           8029
GraphQL                          94            536            505           2631
Text                             43            111              0           1870
HCL                               5              1              0           1441
CSS                               7            239             50           1308
Python                            8            297            447           1115
ANTLR Grammar                     2            133             68            958
make                              2             59             33            418
SVG                              11              0              4            356
HTML                             10             31              1            278
Protocol Buffers                  1             65            168            198
Dockerfile                       11             65             40            163
Bourne Again Shell                7             33              1            123
TOML                              2              8              0             35
INI                               2              5              0             24
XML                               1              1              0             12
CSV                               4              0              0              9
DOS Batch                         1              1              0              5
--------------------------------------------------------------------------------
SUM:                           3015         147973         124931        1095061
--------------------------------------------------------------------------------
