[migrator] 2025/11/24 12:37:35 logging to logs/plan402/migration/migrator--dryrun.log
[migrator] 2025/11/24 12:37:35 starting legacy export (dryRun=true)...
[migrator] 2025/11/24 12:37:35 dry-run: would migrate 3b99930c-4dc6-4cc9-8e4d-7d960a931cb9/1000000
[migrator] 2025/11/24 12:37:35 dry-run: would migrate 3b99930c-4dc6-4cc9-8e4d-7d960a931cb9/1000001
[migrator] 2025/11/24 12:37:35 dry-run: would migrate 3b99930c-4dc6-4cc9-8e4d-7d960a931cb9/1000002
[migrator] 2025/11/24 12:37:35 dry-run: would migrate 3b99930c-4dc6-4cc9-8e4d-7d960a931cb9/1000003
[migrator] 2025/11/24 12:37:35 dry-run: would migrate 3b99930c-4dc6-4cc9-8e4d-7d960a931cb9/1000004
[migrator] 2025/11/24 12:37:35 dry-run: would migrate 3b99930c-4dc6-4cc9-8e4d-7d960a931cb9/1000005
[migrator] 2025/11/24 12:37:35 dry-run: would migrate 3b99930c-4dc6-4cc9-8e4d-7d960a931cb9/1000006
[migrator] 2025/11/24 12:37:35 dry-run: would migrate 3b99930c-4dc6-4cc9-8e4d-7d960a931cb9/1000007
[migrator] 2025/11/24 12:37:35 dry-run: would migrate 3b99930c-4dc6-4cc9-8e4d-7d960a931cb9/1000008
[migrator] 2025/11/24 12:37:35 dry-run: would migrate 3b99930c-4dc6-4cc9-8e4d-7d960a931cb9/1000009
[migrator] 2025/11/24 12:37:35 dry-run: would migrate 3b99930c-4dc6-4cc9-8e4d-7d960a931cb9/1000010
[migrator] 2025/11/24 12:37:35 dry-run: would migrate 3b99930c-4dc6-4cc9-8e4d-7d960a931cb9/1000011
[migrator] 2025/11/24 12:37:35 dry-run: would migrate 3b99930c-4dc6-4cc9-8e4d-7d960a931cb9/1000012
[migrator] 2025/11/24 12:37:35 dry-run: would migrate 3b99930c-4dc6-4cc9-8e4d-7d960a931cb9/1000013
[migrator] 2025/11/24 12:37:35 dry-run: would migrate 3b99930c-4dc6-4cc9-8e4d-7d960a931cb9/1000014
[migrator] 2025/11/24 12:37:35 dry-run: would migrate 3b99930c-4dc6-4cc9-8e4d-7d960a931cb9/1000015
